S/N,EMPLOYER CODE,OLD EMPLOYER CODE,REGISTRATION,NAME,SECTOR
103,PR0000073460, ,1608597,A.B.S AGRICULTURAL ENTERPRISE & COMMERCIAL FARMING CO. LTD,Agriculture and Agro Allied
104,PR0000608446, ,RA608446,A.E. FARMS LIMITED,Agriculture and Agro Allied
105,PR0000443657, ,443657,A.H. AND J AGRO ALLIED INDUSTRIES NIGERIA LIMITED,Agriculture and Agro Allied
106,PR0000634552, ,RA634552,A5FARM LIMITED,Agriculture and Agro Allied
107,PR0000642189, ,RA642189,AAI AGRO CHEMICAL LIMITED,Agriculture and Agro Allied
108,PR0000031267, ,1539623,AAK NIGERIA OILS AND FATS LTD,Agriculture and Agro Allied
109,PR0000638223, ,RA638223,AASUA DANKAWU FARMS VENTURES NIG LIMITED,Agriculture and Agro Allied
110,PR0001442699, ,1442699,AAZOB AGRO INDUSTRIES LIMITED,Agriculture and Agro Allied
111,PR0000012078, ,RA012078,ABASUBONG FISHERIES AND SEA PRODUCTS LIMITED,Agriculture and Agro Allied
112,PR0000660336, ,RA660336,ABAYOMI FARM ESTATE (NIGERIA) LIMITED,Agriculture and Agro Allied
113,PR0001094975, ,1094975,ABBA AGRO CONCEPTS LTD,Agriculture and Agro Allied
114,PR0000697829, ,697829,ABBA INTEGRATED FARMS LTD,Agriculture and Agro Allied
115,PR0000498549, ,498549,ABBIS FARM LIMITED,Agriculture and Agro Allied
116,PR0000629130, ,RA629130,ABDEL FARMS GLOBAL RESOURCES LIMITED,Agriculture and Agro Allied
117,PR0000005776, ,RA005776,ABDU AZIZITA FARM LTD,Agriculture and Agro Allied
118,PR0000712217, ,712217,ABDUL BAKAI FARMS LIMITED,Agriculture and Agro Allied
119,PR0000946210, ,2010773,ABDULAZEEZ FERTILIZER COMPANY LIMITED,Agriculture and Agro Allied
120,PR0000942044, ,942044,ABDULFANA VENTURES NIG LIMITED,Agriculture and Agro Allied
121,PR0000631788, ,RA631788,ABDULLAHI AGRO-ALLIED FOOD PROCESSING LTD,Agriculture and Agro Allied
122,PR0000015009, ,RA015009,ABDULLAHI FARMS LTD,Agriculture and Agro Allied
123,PR0000652243, ,RA652243,ABDULLAHI PIONEER`S RANCH & FARMS LIMITED,Agriculture and Agro Allied
124,PR0000624120, ,RA624120,ABEL INTEGRATED FARMS LIMITED,Agriculture and Agro Allied
125,PR0000610983, ,RA610983,ABEZ AGRIC COMMODITIES EXPORTERS LIMITED,Agriculture and Agro Allied
126,PR0001301884, ,1301884,ABG AGRICULTURAL PRODUCE & SERVICES NIG LTD,Agriculture and Agro Allied
127,PR0000643094, ,RA643094,ABIA GOLDEN CHICKEN FARMS LIMITED,Agriculture and Agro Allied
128,PR0000613288, ,RA613288,ABIATHAR FARMS LIMITED,Agriculture and Agro Allied
129,PR0000646139, ,RA646139,ABIDINO FRUIT FARMS LIMITED,Agriculture and Agro Allied
130,PR0000050296, ,RA050296,ABIJOL FARMS LTD,Agriculture and Agro Allied
131,PR0000054618, ,1788940,ABIMERC SONS AND DAUGHTERS LTD,Agriculture and Agro Allied
132,PR0000631704, ,RA631704,ABIMS AGRO PROCESSING LTD,Agriculture and Agro Allied
133,PR0000655942, ,RA655942,ABIOLA ASALULOLA FARMS LIMITED,Agriculture and Agro Allied
134,PR0000039069, ,1647167,ABIOT CHEMICAL AND ALLIED SERVICES LTD,Agriculture and Agro Allied
135,PR0000642097, ,RA642097,ABIS FARMS NIGERIA LIMITED,Agriculture and Agro Allied
136,PR0002009500, ,2006230,ABIY FARM ENTERPRISES,Agriculture and Agro Allied
137,PR0000070246, ,1933128,ABKAAL'S CROP LTD,Agriculture and Agro Allied
138,PR0000059905, ,59905,ABOWA NIGERIA LIMITED,Agriculture and Agro Allied
